city_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
285,Grindavik,IS,63.8424,-22.4338,32.47,93,75,18.41,broken clouds
286,Rockport,US,28.0206,-97.0544,62.62,83,100,13.8,overcast clouds
287,Wattegama,LK,6.7989,81.4808,78.46,71,39,7.36,scattered clouds
288,Tera,NE,14.0078,0.7531,70.68,16,67,9.37,broken clouds
289,Gewane,ET,10.1664,40.6453,72.52,50,44,4.83,scattered clouds
290,Komsomolskiy,UZ,40.4272,71.7189,30.92,86,12,6.91,mist
291,Ribnitz-Damgarten,DE,54.25,12.4667,9.05,94,20,6.13,few clouds
292,Leningradskiy,RU,69.3833,178.4167,20.53,95,100,2.71,light snow
293,Tromso,NO,69.6496,18.957,28.42,64,20,17.27,few clouds
294,San Vicente,AR,-26.6167,-54.1333,61.59,65,0,4.09,clear sky
295,Sakiai,LT,54.9547,23.0358,9.43,94,69,6.35,broken clouds
296,Elko,US,41.0002,-115.5012,7.05,85,19,1.99,few clouds
297,Dargaville,NZ,-35.9333,173.8833,66.4,85,100,6.17,overcast clouds
298,Chortomlyk,UA,47.6232,34.142,47.08,93,100,12.03,overcast clouds
299,Pak Phanang,TH,8.3511,100.202,81.28,78,76,12.46,broken clouds
300,Ambilobe,MG,-13.2,49.05,74.08,90,89,2.59,overcast clouds
301,Ishigaki,JP,24.3448,124.1572,65.7,80,100,42.14,overcast clouds
302,Denpasar,ID,-8.65,115.2167,80.26,89,40,6.91,scattered clouds
303,Port Macquarie,AU,-31.4333,152.9167,69.26,53,60,15.48,broken clouds
304,Naryan-Mar,RU,67.6713,53.087,11.17,95,96,11.34,overcast clouds
305,El Rodeo,GT,14.9167,-91.9667,71.2,85,30,5.08,scattered clouds
306,Terrace,CA,54.5163,-128.6035,31.26,98,100,0.54,overcast clouds
307,Bulungu,CD,-4.55,18.6,68.16,97,100,0.89,overcast clouds
308,Waingapu,ID,-9.6567,120.2641,80.01,79,100,4.36,overcast clouds
309,Aklavik,CA,68.2191,-135.0107,-0.98,85,100,18.12,overcast clouds
310,Udachnyy,RU,66.4167,112.4,-37.55,100,96,5.19,overcast clouds
311,Urengoy,RU,65.9667,78.3667,2.95,94,100,11.12,overcast clouds
312,Kirakira,SB,-10.4544,161.9205,84.63,68,46,5.01,scattered clouds
313,San Patricio,US,28.017,-97.5169,62.46,68,100,18.81,overcast clouds
314,Winder,US,33.9926,-83.7202,41.56,59,75,0.0,broken clouds
315,Jalalabad,AF,34.4265,70.4515,54.01,27,0,2.39,clear sky
316,Ossora,RU,59.2353,163.0719,33.08,94,100,18.77,light snow
317,Bandarbeyla,SO,9.4942,50.8122,72.25,76,3,14.09,clear sky
318,Ndele,CF,8.4109,20.6473,67.41,26,20,4.72,few clouds
319,Tombouctou,ML,20.0,-3.0,68.76,18,0,8.72,clear sky
320,Rudbar,AF,30.15,62.6,50.67,48,0,2.59,clear sky
321,Byron Bay,AU,-28.65,153.6167,74.95,56,99,14.76,overcast clouds
322,Saint-Georges,GD,12.0564,-61.7485,77.14,83,4,15.21,clear sky
323,Agarakadzor,AM,39.7341,45.3527,36.59,80,15,3.62,few clouds
324,Shingu,JP,33.7333,135.9833,47.7,79,100,4.56,light rain
325,Saldanha,ZA,-33.0117,17.9442,64.04,95,57,14.45,broken clouds
326,Tual,ID,-5.6667,132.75,81.25,80,100,13.27,overcast clouds
327,Westport,US,41.1415,-73.3579,39.33,88,100,8.01,light rain
328,Cabo Rojo,PR,18.0866,-67.1457,76.91,66,71,5.41,broken clouds
329,Palmer,US,42.1584,-72.3287,38.98,87,100,11.5,overcast clouds
330,Tahoua,NE,14.8888,5.2692,68.32,19,93,12.44,overcast clouds
331,Juntas,CR,10.2809,-84.9595,73.78,88,55,5.12,broken clouds
332,Jiaonan,CN,35.8786,119.9753,20.32,28,0,23.85,clear sky
333,Cap Malheureux,MU,-19.9842,57.6142,78.48,68,26,8.99,scattered clouds
334,Lahuachaca,BO,-17.3667,-67.6667,45.68,84,99,2.51,overcast clouds
335,Tanout,NE,14.9709,8.8879,63.9,25,57,11.05,broken clouds
336,Broken Hill,AU,-31.95,141.4333,79.29,17,2,14.72,clear sky
337,Suntar,RU,62.1444,117.6319,-33.54,100,95,2.66,overcast clouds
338,College,US,64.8569,-147.8028,-20.92,81,29,3.38,scattered clouds
339,Adamantina,BR,-21.6853,-51.0725,70.84,64,36,6.76,scattered clouds
340,Dwarka,IN,22.2394,68.9678,75.45,52,93,8.55,overcast clouds
341,North Bend,US,43.4065,-124.2243,42.85,90,0,5.75,clear sky
